n,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11
100.0,1.6923218665553887,1.6720882565698734,1.6758339073573858,1.6784648292388682,1.6775652380591886,1.6737010255447693,1.6803827939977476,1.675730265090815,1.6714847061228644,1.6754252123441682,1.6769308678793444
200.0,1.680894920702546,1.6855603742906018,1.6947717270784548,1.6919320461160179,1.685850200931267,1.6924985584145371,1.6792520734332392,1.6819471936716004,1.6808910599145692,1.685071835457679,1.6783973063773256
300.0,1.6943512965058987,1.688477655849551,1.6843984585442175,1.6927340925723884,1.6878592353877577,1.6858951614553168,1.6901596473047582,1.6806373658376066,1.6892234056688842,1.6882211718134115,1.6873176610183487
400.0,1.6914662413945498,1.6892487158441536,1.6896666386338983,1.6915951940570078,1.6882016396110995,1.6862275161502231,1.6919944029655336,1.6898844923201126,1.687926942684072,1.6892213516418475,1.6870839196519054
500.0,1.6985960496817636,1.6889548550505042,1.6904033884072538,1.6906410592344496,1.691756669073195,1.6910685876345108,1.687190060635092,1.6894256284871871,1.6902049865311701,1.6892364618392692,1.684367870407229
600.0,1.6935638966292548,1.6946867617696997,1.6931249747405295,1.693246493948708,1.6913360597109368,1.6920993405143006,1.6863148369869987,1.6915130022770188,1.6897524030015358,1.6889853468782998,1.6869522274188262
700.0,1.692750875132492,1.6937565212373855,1.6910366642358223,1.6941808271884395,1.6934246602383483,1.6923040238320284,1.6893115297846324,1.6884028337036885,1.6897819905687415,1.693613382472819,1.6908722693668077
800.0,1.691336390757276,1.687587884086669,1.687586860751046,1.6899417984127083,1.6917014409896645,1.6926193718576907,1.6913550142749179,1.6922883799201656,1.688781940016976,1.6902691207266427,1.6895374396643617
900.0,1.6902190146705347,1.6948454683723004,1.6922667179002386,1.6920240508604891,1.6914614302774225,1.6902107581508037,1.6925221792381493,1.6911587970146065,1.6949665442642294,1.690970586521203,1.690742810520626
1e3,1.6955582127522604,1.690552357628707,1.694466395708532,1.694123130485932,1.6890766731647489,1.6894133547497145,1.6919505310120413,1.6913560660986608,1.6884096547245646,1.6917327752948343,1.6922814319719912
1100.0,1.6952325355437547,1.6941327944391384,1.6929952479182415,1.6938841752241371,1.6920472209572943,1.6922217072908718,1.6919017765533952,1.6904787222837252,1.6929851011139498,1.6930963413542406,1.689396336403495
1200.0,1.6905231585397136,1.689835790242425,1.6934506254712816,1.6934402123228736,1.6913880944315234,1.694270729914313,1.690158696581204,1.6916307151198196,1.6921429273364004,1.6922407092225047,1.690452645649842
1300.0,1.6928543570999497,1.6920987593697026,1.693954504039452,1.692510664278139,1.69220358408797,1.6900855592330044,1.6904537177124523,1.6945125211891943,1.69237577305227,1.692082226519877,1.692002118650974
1400.0,1.695601661690856,1.6934306103242436,1.690917936272978,1.6915476161903544,1.692445474166852,1.6904234457755418,1.6929592770491564,1.689879569983757,1.69485506380979,1.6907969571676271,1.6901928290539368
1500.0,1.690122594282764,1.694135067559576,1.6926337178218973,1.6941457281697332,1.6929187420428549,1.6935733435205054,1.6917113691487538,1.690411530427722,1.6902469573611576,1.691730982392118,1.6934772781438134
1600.0,1.6922850986931777,1.6931099455385938,1.6916108264001628,1.6933629475091858,1.693493844450376,1.6916780917135985,1.6941767878690457,1.69007027574099,1.692539567162464,1.6914418442987849,1.6925220416406779
1700.0,-Inf,1.6925614970933165,1.6933475373647509,1.6909436697794697,1.691051719415407,1.695327505690892,1.6903218145784322,1.6920621715596338,1.6927754553090415,1.6898728035390433,1.6902355153510686
1800.0,1.6902280307587014,1.6936676208289094,1.6944188121130919,1.6922748621367538,1.6909234123605283,1.6926344107336986,1.6922956735007575,1.6929684352139063,1.6933102045992419,1.691277713028833,1.6930798805602347
1900.0,1.6904091673641188,1.6907912685163082,1.6924082850574185,1.6933442255964473,1.6929869048412851,1.690977998015501,1.6938770484374825,1.6937426879713702,1.692495496359599,1.691416552612106,1.6906365602523625
2e3,1.6933532928828394,1.6942085991438798,1.6951423038764935,1.6933325114897588,1.6925538886771023,1.6917671374398182,1.6911434477214713,1.693199732440322,1.6919047804501848,1.6928944280690892,1.6908104757773088
2100.0,-Inf,1.6937050820109032,1.69336791703318,1.6937028280685666,1.6929721285432564,1.6938856946030436,1.6933545404431203,1.6928786645848628,1.693034003312443,1.6913503491729742,1.6935922209954983
2200.0,-Inf,1.6921604716232614,1.6938708406386476,1.6932950032501317,1.6919382963012968,1.6902821423819943,1.6936032393127458,1.6931178693226834,1.692878234570306,1.6913132568820086,1.6894565589440749
2300.0,1.6938242347205053,1.6934770012061275,1.6923080026548523,1.6938492394358635,1.6929605569580208,1.6927991726510614,1.691573487292465,1.6923008355163507,1.6936618146639333,1.6907142337648373,1.692114489887872
2400.0,1.6938566279038083,1.6927921562208244,1.6944537427192372,1.6941908010929383,1.6918888031775656,1.6919700294793485,1.6925775263335792,1.693489348617496,1.6944804487482172,1.6941035202879218,1.6922301340114212
2500.0,1.6921437621134137,1.6949491886630084,1.692891223403333,1.6929549119767704,1.6915290427465577,1.69103773880698,1.6935981810237117,1.692709664937435,1.6934744759291636,1.6932032363410205,1.6917887483754552
2600.0,1.691224596256612,1.6913657758937661,1.691248129738849,1.690351355533155,1.692677056901885,1.6943715503094512,1.6921112966853271,1.6930540665450384,1.691084318073398,1.6913482933846968,1.6904063917321863
2700.0,1.6936766525843705,1.6911833556519085,1.693480657502944,1.6916401157401346,1.6915298514388997,1.6920696805359803,1.6914795173789352,1.692931851853087,1.6919528433547535,1.6937878548324936,1.6906067997672627
2800.0,-Inf,1.6940174547126392,1.6920535306997393,1.6927162451835949,1.6934460104187177,1.6938816476317047,1.69218107143534,1.6935887780116345,1.6920733828228602,1.6922087099700454,1.6915648140826927
2900.0,1.693641828160431,1.693859737742409,1.6933769408427786,1.6927984265932965,1.6929920122580189,1.692165154879398,1.6926120200365795,1.6926745296318697,1.6933723716469642,1.6927282429336854,1.6936727056835574
3e3,-Inf,1.6926506958171887,1.6932651737818292,1.6930565241734301,1.6924240563745048,1.6927707529799472,1.6938057585096962,1.6933789463048081,1.6920499532859696,1.6907952193654128,1.6919783923003218
3100.0,-Inf,1.6940162827208296,1.6932125716255206,1.6921226033138528,1.6907805279705193,1.6923659415284127,1.6926637446718396,1.693055481002858,1.6919046799095496,1.6928618070434616,1.6915230208560696
3200.0,1.6930421211110827,1.6921300392463492,1.693483812261771,1.6922530623044891,1.6942100264567246,1.6922190754887578,1.6915932504781959,1.692034747988688,1.692672040105103,1.6932526022246854,1.6932157031906294
3300.0,1.6929506269884422,1.6943701827943312,1.6910115207004246,1.69357260446815,1.6921111142187448,1.6899715955143966,1.6939495801061977,1.6940459699956993,1.6918418987837411,1.6919114892708225,1.6930357788232437
3400.0,1.6914198437733818,1.693328513866358,1.6946081492625225,1.6926915638863602,1.6933146573549538,1.6937379075814094,1.6911695832220714,1.6925033739891382,1.6914614325694433,1.690992279566939,1.6919831676560737
3500.0,1.6953653114751548,1.692849937259238,1.691424808655152,1.691386042368387,1.6920487340850896,1.6938343447478383,1.6926306576423242,1.6928922246879228,1.69233949540414,1.6929191999142275,1.6915184241793908
3600.0,-Inf,1.6918181342044563,1.6926440936932516,1.6918712610506381,1.6926187189450292,1.6924353566224863,1.6932843853898218,1.6931120824760388,1.694112856015152,1.6913458981610852,1.6933727615323118
3700.0,1.690896132601822,1.6929861412182559,1.6940787982247187,1.6916816616454384,1.6913888506415218,1.6937802101488284,1.6934851759853624,1.6907666132654553,1.6922795488765876,1.6922187617237168,1.6920499619757643
3800.0,-Inf,1.6937047045343514,1.693289950823561,1.693604367526066,1.6935372994036115,1.6937352644942967,1.691952268363738,1.6922247195544284,1.6933276546809921,1.6931941665954737,1.6917269805208088
3900.0,-Inf,1.6920721251468647,1.6935528802048727,1.6936516256627574,1.692357032858919,1.6929309802707677,1.6934418087077205,1.6915701116974986,1.693164267310556,1.6926585898772666,1.6934460106292195
4e3,1.692226080720513,1.6925602489786618,1.6934718419402905,1.6922770657253068,1.6930194353500418,1.6941618303600474,1.6920060751681676,1.6920288936050198,1.6923324559806912,1.6939086091959672,1.693149431462081
4100.0,1.6930287626857998,1.6917010450513934,1.6903777600056014,1.692972433397121,1.6933223763484586,1.6927544329646806,1.6949031256287683,1.693664722828566,1.6939065741344432,1.6928435714979815,1.6916558871743885
4200.0,1.6947621257428513,1.6923200571226198,1.6935095369205908,1.6920940107345472,1.6916038446659405,1.692744766407216,1.6933493132532504,1.6942491177863395,1.6921466580159843,1.6930559216874046,1.6932979369016787
4300.0,1.692800743504355,1.6921523678347936,1.6933801430839381,1.6922309634129753,1.6926624792228542,1.6941160190164455,1.6931498813229704,1.6924125764931008,1.6917155324787396,1.6926308517861937,1.6931773144786417
4400.0,-Inf,1.6950063786911647,1.6937164752969458,1.6926030490069133,1.6944228666319938,1.6913890098596573,1.6938740342996101,1.692913078259067,1.6940962704560105,1.6930151447026842,1.6934276078084296
4500.0,-Inf,1.69251572364372,1.6944432756966532,1.6942754571972716,1.6921953085166905,1.6932146435151363,1.6929648956384498,1.6929485110109908,1.6918295652183084,1.6923695010458637,1.6926401153894581
4600.0,-Inf,1.6938605197614238,1.6929474965426508,1.6928951415309679,1.692130553677995,1.6944771196393045,1.6912427681603666,1.692190375838952,1.692679497750017,1.6915840909112232,1.6919789875547904
4700.0,1.692256812753146,1.692650091140528,1.693287387862482,1.6932610791102558,1.692714188733704,1.6926062897867404,1.692289056939469,1.6930489536425386,1.6925004355098323,1.6929061750434562,1.693143273023275
4800.0,1.692232102071568,1.69297025739843,1.6926264436667737,1.6928608147433668,1.6926687933183022,1.6932284522039327,1.6925644724458344,1.6922584346983265,1.6922938293828333,1.6923666827491775,1.6922986121858739
4900.0,-Inf,1.6933905822850417,1.691075641228292,1.6922853085561018,1.693489533698276,1.6931348592477646,1.6933669242250895,1.6929047796097392,1.6927074984254629,1.6929503695949495,1.6927799968041026
5e3,-Inf,1.6926028799172947,1.6936986573270605,1.6919058698377196,1.6920680083748931,1.69213147269923,1.6937159782159192,1.6916687409748579,1.6920230796687246,1.692303342956173,1.6934561452935348
5100.0,-Inf,1.6932319547792898,1.6941814788188836,1.6936211746322425,1.693058141826347,1.6943772730131326,1.6926000160978678,1.6924662651924411,1.6937084904362565,1.6916911796614473,1.692296818108045
5200.0,-Inf,1.6937364809577407,1.6917792059632275,1.6937906178976228,1.6923145189093298,1.692139996783076,1.6934336988416094,1.6930464655358584,1.692951560024689,1.6924476216496407,1.6928054358907527
5300.0,-Inf,1.692729497298192,1.6931691200972243,1.6934124781303976,1.6934278969522034,1.6937418504237243,1.6928626500273598,1.69174855496399,1.6940451799613616,1.6929144722660934,1.6929496698559494
5400.0,-Inf,1.6923712048427246,1.6928158050772406,1.6912793111000017,1.6912927671234292,1.693137483155309,1.6933609534946974,1.6938897403924285,1.6920440751281125,1.6928486350909837,1.692707530940586
5500.0,-Inf,1.693702277606488,1.6930958849555768,1.6926873215631115,1.6937502903865655,1.6924974736623537,1.6927377773660435,1.692293311106873,1.692262054790007,1.692124043441709,1.6915557453961223
5600.0,1.6953557161670947,1.692595716714503,1.69323021761966,1.693493716285026,1.6931944879814116,1.6923247477732213,1.6934500029762014,1.6932990654848252,1.6927854704662857,1.6933713955962326,1.6931249733194018
5700.0,-Inf,1.6938061370795652,1.6942894601742382,1.6934414871687504,1.6925608901542935,1.6920473312913635,1.6932059937963317,1.6930665480016367,1.6931705661006329,1.6922000505998251,1.6934673830542306
5800.0,1.6910732182161001,1.690817200891667,1.6928299401769427,1.6933849713371236,1.6923790030541535,1.6915504266469021,1.6926986308959218,1.6930312902580806,1.6933128751735447,1.694156995682158,1.6923193300761128
5900.0,1.6929504916007272,1.693038537764803,1.6929899579532317,1.69390511668983,1.6933498800830975,1.692677565558059,1.6925770412559018,1.6932049534057332,1.6928387176760464,1.6932517267683893,1.6920858378972032
6e3,1.6921326148249771,1.6931943550726432,1.6913907292143182,1.6934323481928062,1.6933398691346921,1.6945138446500803,1.6930066860104465,1.692695606105825,1.6927191077012187,1.6924857119648788,1.6926170129473577
6100.0,-Inf,1.6931379288401107,1.6925052725176126,1.693374127609935,1.6927337012988632,1.6930031840092137,1.6933882428310028,1.692509000036172,1.692377310643165,1.6926920924960667,1.6930945736418836
6200.0,1.6932479722292166,1.6933757549039763,1.6924740606132225,1.6931167682614987,1.6913226638508665,1.6942204688808558,1.6941488334078014,1.6927832749476297,1.6925826220993163,1.6917897945544478,1.6930093173456744
6300.0,-Inf,1.693508453981407,1.6924914328283205,1.6934154904728453,1.6926356215661436,1.6933705025882662,1.6930615650043197,1.6925717105478235,1.692653367358372,1.6931646299108019,1.6937659014806639
6400.0,-Inf,1.6934062031061048,1.6939726341451338,1.6936379553880287,1.6917935300252847,1.6930723028869719,1.6922091180894518,1.692920993705985,1.6930997078928955,1.6926255177501617,1.6915603161811668
6500.0,-Inf,1.6907646335040944,1.6935390121979623,1.6930280313940476,1.6924711126934306,1.6928001023961243,1.6933573700193623,1.6923298232972332,1.692716070967069,1.6922218710722106,1.6935099984724054
6600.0,-Inf,1.6951869864684217,1.6936389561107457,1.6932621007206572,1.6939225160397766,1.6939557569641053,1.6919281583337247,1.6933023600181742,1.6931972585422237,1.6924750955521075,1.6926703292974912
6700.0,-Inf,1.6932779864747505,1.6939756806149147,1.6930270918019061,1.6932027390740756,1.693388267490046,1.692166113869734,1.69365451368964,1.692654613143535,1.6931412888569641,1.6923259086980849
6800.0,-Inf,1.6917175667145743,1.6931826614033294,1.6936243302107656,1.6926999924318438,1.6928233559061157,1.6919173292090712,1.6928269380179914,1.6928203289102313,1.69254512976372,1.692415976575192
6900.0,1.6926267003894917,1.6927153698399697,1.69248949514271,1.6924710728010586,1.6927361984669278,1.693011852582115,1.692859826342877,1.6928535661182473,1.693136126458745,1.6928493324982057,1.6933288383463183
7e3,-Inf,1.6931978500097147,1.6926214245179811,1.6921550142529895,1.6920650302177793,1.692439917915502,1.6933322663216852,1.692841314783451,1.6919497135755528,1.692279344546934,1.6923899188593778
7100.0,-Inf,1.6943741620213595,1.6931450001171209,1.6931703384791006,1.692545616474319,1.6926494322935213,1.692428841739136,1.692957839228149,1.6931127649319557,1.692427061788291,1.6924732391620672
7200.0,-Inf,1.6935973489699983,1.6940986235167033,1.6917501784016145,1.6927577164711016,1.692788803516806,1.6932546053329696,1.6930320257372165,1.691915681781729,1.693342998488693,1.6934057250804042
7300.0,-Inf,1.692703082492526,1.693434843106528,1.693049558814659,1.692316456789543,1.6948054177621472,1.69209731523909,1.6933747143931388,1.691709999085816,1.6934742773629439,1.6925370681260674
7400.0,-Inf,1.6936993131836238,1.6937071628934914,1.6931987002901647,1.693261972086976,1.6930345167162273,1.693291603076467,1.6930403059557273,1.6939299780744597,1.6931831060338054,1.6926026997236763
7500.0,-Inf,1.6927970556056275,1.6930606013945193,1.691740985487444,1.6930192211439097,1.6932078160196664,1.6928683644280758,1.692646471844883,1.6927377346825163,1.6927677439064603,1.6933847967524709
7600.0,-Inf,1.6927154859605211,1.6941644191416687,1.6931021058944193,1.693567810360949,1.6937351292375225,1.6933575188423826,1.6933431025629553,1.6930676878240951,1.6923227833861725,1.6927174415261077
7700.0,-Inf,1.693480761051704,1.6934107220972119,1.6926819771931552,1.6932702151830359,1.6931909563180585,1.692232372673907,1.6934476418155147,1.6930500222953555,1.6928738184033008,1.6927315461926236
