n,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11
100.0,1.4221297564501496,1.3994038494535666,1.4021483116818632,1.3924677103779983,1.3951120430416228,1.38778098279689,1.3833083818692555,1.3793086099359504,1.3728678926041706,1.373073705034652,1.3802046113638025
200.0,1.4157884217305539,1.4197122834489289,1.4066180712778453,1.4060875366697518,1.4016260746126619,1.4035859986286694,1.3970638334338075,1.3953777592478611,1.4007152300968324,1.3939803784636895,1.387817135781198
300.0,1.4162228835539363,1.4150092381549104,1.4100923435291683,1.4095963077929068,1.4052127890235842,1.4069886642371305,1.405788205334019,1.4056188578472724,1.4006196159514666,1.399144162791008,1.4057989400450792
400.0,1.410875478229793,1.4158488166051477,1.4129620204430957,1.410363641539823,1.4136862403654311,1.4108585094534942,1.4091322277094818,1.4050678657055886,1.4054768269156908,1.4056600235015888,1.4021312040335179
500.0,1.4178941857603347,1.4177694992754504,1.413757588533556,1.414662612269914,1.4117153953843833,1.410054079564042,1.4100695816818876,1.406507605426494,1.4067974253080997,1.406306605390714,1.404355385455448
600.0,1.4169956975642628,1.4200254415381852,1.4149559531356697,1.4139943646686293,1.4108369545378596,1.416225930416016,1.4122338777177015,1.4106921784211117,1.4091900502829848,1.407260064192069,1.4085895652764777
700.0,1.4193394213015302,1.4163191935689037,1.4171038024296796,1.4141034820720366,1.4129536677971724,1.4141980699791137,1.4140069449792843,1.4112076442686476,1.4106598695393266,1.4095017179617766,1.4109700949774586
800.0,1.417086569576335,1.4142152199781113,1.4147708999714685,1.4163418940128414,1.4147200650674976,1.4139344956806477,1.4141775584022873,1.4146238223371324,1.4109976238773982,1.409187439325546,1.4095931402742023
900.0,1.4197495042911297,1.4185444156466243,1.4155258341811014,1.416885036936263,1.4165756093721338,1.4147053297794132,1.4129320115611195,1.4120451527410962,1.4131336686851583,1.411727790233994,1.4125449466799103
1e3,1.4211093141455984,1.420580046795135,1.4192985964812137,1.4157895290113562,1.415410431138005,1.4140273286685003,1.4149906744819345,1.4133717274365227,1.4123378210446627,1.4127190747125038,1.4112579699386272
1100.0,1.4133663330863837,1.4169017266412978,1.418522405993438,1.416334414426005,1.416961569907349,1.4156879224516565,1.4161899205703923,1.4123929676630609,1.4133017632122844,1.4130961262363215,1.4126878224158366
1200.0,1.4168953182665422,1.417936504115665,1.4166613152456988,1.415182247783671,1.4150723887501686,1.4152836016305037,1.4138233012593164,1.4137261936465755,1.4155825944284064,1.415616016538706,1.4129462300560796
1300.0,1.418751702178404,1.4200934577499145,1.4193731090111983,1.4153024640616008,1.4167900010968473,1.4176555540118165,1.416898498537627,1.414160472073788,1.4138181103241587,1.4137803823549886,1.4155285354898681
1400.0,1.4195367345652374,1.417677897698968,1.4176239745968484,1.4154999720944481,1.4156613126944984,1.416494346767766,1.4154883774379794,1.4134054503035829,1.4138125215072317,1.4147564548125617,1.4144562582551825
1500.0,1.4180111029137448,1.4187768629571593,1.416307674326184,1.4168106888422554,1.4183680701059376,1.414198618845879,1.4135243266835906,1.4139723311271644,1.4133979896287943,1.4137287280969435,1.4150696674044951
1600.0,1.4167657468702286,1.4190215269217814,1.4163621283456915,1.4170127141173663,1.4182243033434236,1.4183157421787345,1.4173131219926194,1.4168260786856375,1.4150240621753323,1.4158533184950253,1.4148044693576072
1700.0,1.4177457571169116,1.4185304546063846,1.4172298593984025,1.4181034568823732,1.4155359854452456,1.4163359603945005,1.417041766854858,1.4165885418226265,1.4160021957628912,1.4158665619946194,1.4168995591028708
1800.0,1.4170745565205234,1.4169381234340515,1.4167553303793077,1.4159870615551207,1.4168887671754757,1.4177732428783492,1.416295393460281,1.416748885472132,1.4155397471560178,1.4158376574882414,1.4144084271408814
1900.0,1.418416059677213,1.4191162897183622,1.4185093432135158,1.417625712440083,1.4168462014524652,1.416091845432554,1.4165457883497643,1.4158237818818002,1.4171664087198261,1.4167727717815222,1.415558292260473
2e3,1.417337824870248,1.4187104925960161,1.4181780349754698,1.4180766130579223,1.4167591684063545,1.4168479960719287,1.4166977945168697,1.4161392380595281,1.4173931447243264,1.415481254420793,1.4143168263196622
2100.0,1.4173350593985092,1.417893915522255,1.4179115659830748,1.4168370993238175,1.4164076129865146,1.41650346334833,1.4165137433014474,1.4165589459161152,1.4170497053258615,1.4158304366015244,1.41565401409374
2200.0,1.4186432096169015,1.417691301967815,1.4166743057495432,1.4171740372463733,1.4168911364515289,1.4164517674901693,1.4176596311992962,1.4163965004343355,1.4155088701726002,1.4166032482534607,1.4158547475051513
2300.0,1.4188912635227289,1.4193939031117337,1.418919678622879,1.4183168088929006,1.4173363537728925,1.4172671951931806,1.415630302933364,1.4168890117925321,1.41653099375831,1.416118845272596,1.4154184511109702
2400.0,1.419260848536656,1.4173230180289345,1.4192243530087836,1.4167404050552872,1.418092095785483,1.4177521582021744,1.4173197114858893,1.4163592917156052,1.4167127498889,1.4161144612211245,1.413885383961416
2500.0,1.4158367515467072,1.417975729546102,1.4194477468357563,1.4179387643837,1.4166553230950747,1.4165572438715606,1.4174579456472425,1.4172180367352418,1.41651405852429,1.417514627903847,1.4163061455773447
2600.0,1.4195573106349564,1.417073279735394,1.4175852179709028,1.4185394560202083,1.4173345042198109,1.4168637335226715,1.417346197219893,1.4167195492340323,1.4149467710741037,1.4156705011978297,1.4170556884762544
2700.0,1.419423795719129,1.4179095611530597,1.4179052990995176,1.418792793808613,1.4166139114566452,1.4173081365783011,1.4161479357055387,1.417199402019623,1.4171025878519554,1.4169639128065734,1.4155447794453446
2800.0,1.418526187102431,1.4202285317628365,1.4176597221519105,1.417314436872426,1.4179497336513107,1.4162879459737368,1.4169571086730874,1.4174591310875315,1.4167698921559486,1.4159483082682491,1.4165656987088722
2900.0,1.4194556915670549,1.4172995706828606,1.4179240045795853,1.4176935476457369,1.4172437130498439,1.4178274336165677,1.4183233767528969,1.4174667932211413,1.416820430908201,1.416794506107373,1.4165876853503585
3e3,1.418311272550845,1.4187241809383697,1.4179723901208299,1.4180777461497063,1.4181043371361088,1.4165110815439295,1.4172793953423,1.4174557975440993,1.4165592048424709,1.4163751790477175,1.416151238702064
3100.0,1.4166227173800774,1.4185051091043963,1.4179034065135008,1.4171066563679464,1.4175743603552937,1.4196333404005668,1.4177589807563362,1.4179058902495612,1.4169237274234001,1.4161680544566737,1.4168922594099616
3200.0,1.4180890202096592,1.4194351033543695,1.4179005914443026,1.419101159138241,1.4180655161116054,1.417452622476085,1.416885551490437,1.4166992193518342,1.4168933455153478,1.4155897208769426,1.4171256766912412
3300.0,1.4185866111830618,1.4189620484587484,1.4184786926291346,1.4186087863787213,1.4173289580269832,1.4179069448581847,1.4172798033088552,1.4178448762316915,1.417092288984646,1.41738956789456,1.4171475510349072
