n,k=1,k=2,k=3,k=4
100.0,1.4221297564501496,1.3994038494535666,1.4021483116818632,1.3924677103779983
200.0,1.4157884217305539,1.4197122834489289,1.4066180712778453,1.4060875366697518
300.0,1.4162228835539363,1.4150092381549104,1.4100923435291683,1.4095963077929068
400.0,1.410875478229793,1.4158488166051477,1.4129620204430957,1.410363641539823
500.0,1.4178941857603347,1.4177694992754504,1.413757588533556,1.414662612269914
600.0,1.4169956975642628,1.4200254415381852,1.4149559531356697,1.4139943646686293
700.0,1.4193394213015302,1.4163191935689037,1.4171038024296796,1.4141034820720366
800.0,1.417086569576335,1.4142152199781113,1.4147708999714685,1.4163418940128414
900.0,1.4197495042911297,1.4185444156466243,1.4155258341811014,1.416885036936263
1e3,1.4211093141455984,1.420580046795135,1.4192985964812137,1.4157895290113562
1100.0,1.4133663330863837,1.4169017266412978,1.418522405993438,1.416334414426005
1200.0,1.4168953182665422,1.417936504115665,1.4166613152456988,1.415182247783671
1300.0,1.418751702178404,1.4200934577499145,1.4193731090111983,1.4153024640616008
1400.0,1.4195367345652374,1.417677897698968,1.4176239745968484,1.4154999720944481
1500.0,1.4180111029137448,1.4187768629571593,1.416307674326184,1.4168106888422554
1600.0,1.4167657468702286,1.4190215269217814,1.4163621283456915,1.4170127141173663
1700.0,1.4177457571169116,1.4185304546063846,1.4172298593984025,1.4181034568823732
1800.0,1.4170745565205234,1.4169381234340515,1.4167553303793077,1.4159870615551207
1900.0,1.418416059677213,1.4191162897183622,1.4185093432135158,1.417625712440083
2e3,1.417337824870248,1.4187104925960161,1.4181780349754698,1.4180766130579223
2100.0,1.4173350593985092,1.417893915522255,1.4179115659830748,1.4168370993238175
2200.0,1.4186432096169015,1.417691301967815,1.4166743057495432,1.4171740372463733
2300.0,1.4188912635227289,1.4193939031117337,1.418919678622879,1.4183168088929006
2400.0,1.419260848536656,1.4173230180289345,1.4192243530087836,1.4167404050552872
2500.0,1.4158367515467072,1.417975729546102,1.4194477468357563,1.4179387643837
2600.0,1.4195573106349564,1.417073279735394,1.4175852179709028,1.4185394560202083
2700.0,1.419423795719129,1.4179095611530597,1.4179052990995176,1.418792793808613
2800.0,1.418526187102431,1.4202285317628365,1.4176597221519105,1.417314436872426
2900.0,1.4194556915670549,1.4172995706828606,1.4179240045795853,1.4176935476457369
3e3,1.418311272550845,1.4187241809383697,1.4179723901208299,1.4180777461497063
3100.0,1.4166227173800774,1.4185051091043963,1.4179034065135008,1.4171066563679464
3200.0,1.4180890202096592,1.4194351033543695,1.4179005914443026,1.419101159138241
3300.0,1.4185866111830618,1.4189620484587484,1.4184786926291346,1.4186087863787213
3400.0,1.4183301475932744,1.41770891228373,1.4176222731396189,1.4177389708868742
3500.0,1.4168082953132217,1.4204980356688126,1.4183066299111988,1.4180180762853798
3600.0,1.4188475538013514,1.4182799287461825,1.4182548304400224,1.4177825263782269
3700.0,1.4195617516121766,1.418976274537514,1.418751332156768,1.419456502098116
3800.0,1.4203724147581167,1.4183429133769716,1.4183996851773177,1.416802975261868
3900.0,1.4180254280845486,1.4196616015310035,1.4179282552957455,1.4183846351538307
4e3,1.4169068374858202,1.4179012038582979,1.4181442875587933,1.4197338100969517
4100.0,1.4182397467471342,1.417189219433785,1.4161149375044904,1.418462684128812
4200.0,1.4180835412466422,1.417906678423802,1.4178273789574576,1.4182502464955165
4300.0,1.4191540814016828,1.4177715389316488,1.4192624954258786,1.4174613910700418
4400.0,1.4176640829043303,1.4199707280262566,1.4191140241626121,1.417491357740517
4500.0,1.4182237764650143,1.419463220681224,1.419540828790901,1.4179230924581185
4600.0,1.418853517899906,1.4193520201896588,1.4187534081649136,1.4181523872401078
4700.0,1.4202760377853711,1.419408499660265,1.4186778010417773,1.4185152535249654
4800.0,1.4199731380149865,1.4182864013188747,1.4183972549483306,1.418160740948791
4900.0,1.420154317081155,1.4183819531596689,1.4179245662278208,1.4180220695611245
5e3,1.418763326123882,1.4193903186698895,1.4182302739755865,1.418008605518577
5100.0,1.4202170605114153,1.4181694758099221,1.4190087399427402,1.4182857413497205
5200.0,1.4181506394185173,1.418637209603013,1.4188517682070776,1.4186528016858426
5300.0,1.4198827417885471,1.4189889595065694,1.419305619988391,1.4177121982795322
5400.0,1.417532521794219,1.4187740205801915,1.418098978965853,1.4184523251054977
5500.0,1.4203044330825845,1.4192292782561624,1.4185945989559279,1.4183786509688987
5600.0,1.4161921108652158,1.4167194891309922,1.4188221089677153,1.4184825509154897
5700.0,1.4208933274394813,1.4190786362881544,1.4189233004139958,1.4185898418037013
5800.0,1.417500386544805,1.4188784179135616,1.41741685167518,1.417674850390661
5900.0,1.4192710708693956,1.4200550308508937,1.4186501802570113,1.4176863571429796
6e3,1.41929151659924,1.4201603537596148,1.4187384527571854,1.418212299423594
6100.0,1.419654371808102,1.4183775885095142,1.418923736164352,1.4181600188058003
6200.0,1.4179228331627909,1.4190000283697581,1.418112235704429,1.4187694895717176
6300.0,1.4186746822931908,1.4184752481476606,1.4188055596322902,1.418161292840675
6400.0,1.4185204559291504,1.419899935478236,1.4186098311771946,1.4183910968020823
6500.0,1.4153845407496182,1.4187456018244615,1.4176119134048255,1.4183074401944489
6600.0,1.4183500492384407,1.4185974432491724,1.4191619172068248,1.4192323074866673
6700.0,1.4164947248363227,1.419250126594072,1.4192533797259943,1.4176932443102843
6800.0,1.4184998561430027,1.4184297277543658,1.418127268030733,1.4184276049323805
6900.0,1.4189448649687115,1.417883866230255,1.4183525297013968,1.4187418416869293
7e3,1.418399083539153,1.4188531476268245,1.4194602775365495,1.4187002621469764
7100.0,1.4183742637920407,1.4189403703665702,1.4189265720253454,1.418043895750606
7200.0,1.418138163758295,1.4187709686625496,1.4182479554512288,1.4181149273205835
7300.0,1.4197452860431965,1.4202083065768396,1.418579488144356,1.4179420229423463
7400.0,1.418101691039079,1.4193356828852275,1.4180918536168987,1.4188959225806062
7500.0,1.419614566157509,1.4190409545578304,1.418678337342096,1.4183671984903294
7600.0,1.41853955132306,1.4189904069474186,1.418920672076565,1.4182556072108734
7700.0,1.4204575202308822,1.4191539825639385,1.4185672564930696,1.4185933697794044
7800.0,1.4189972882259658,1.4185396574821065,1.4180798266204624,1.4196418004830094
7900.0,1.417904418310489,1.4190565385575058,1.4197229984494673,1.4186764096994517
8e3,1.419136817058841,1.4190810121509432,1.4200175941961366,1.4179125422856242
8100.0,1.4197069799583015,1.4197495403947942,1.4179482130105914,1.4187249629358583
8200.0,1.420516276242644,1.4198502125696308,1.4194220683845022,1.4180424744793925
8300.0,1.4194236689918536,1.418035659576085,1.419070701604835,1.4195552540293601
8400.0,1.4182297298863276,1.4192155249541947,1.4192636047002203,1.4188962623356298
8500.0,1.4180264812308816,1.4186926378318343,1.4187273650059484,1.4186255886860766
8600.0,1.4183123476280062,1.4190497961944042,1.4192506335090174,1.4183489579452813
8700.0,1.4187910188930806,1.4189487072803373,1.418958285444082,1.4186786954277661
8800.0,1.4178744065733921,1.4194527271707476,1.4186103101360246,1.4180516413380242
8900.0,1.4196474555066323,1.4193110860111806,1.4187671576957719,1.418785250075273
9e3,1.4197190114183607,1.4185699289010627,1.4188555461344732,1.4188040946656848
9100.0,1.4187937718831605,1.4183998955406598,1.4187874850385662,1.4183326674517636
9200.0,1.418172385226784,1.4189559863694143,1.4194799438554813,1.4190224757125562
9300.0,1.4197968856025578,1.4194747407904138,1.4186185651599248,1.4180230310821234
9400.0,1.418652270756164,1.418541282800777,1.4192122997858696,1.4178284377463952
