k,a,zeta,corr,powera,c,rsquared,se
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,-0.5824,-2.605,-0.42926486625830323,0.5824,0.0739,0.18426832540375937,1.197183154117289
3.0,-0.4941,-3.4729,-0.39955946834752665,0.4941,0.031,0.15964776874615852,1.1073499326838805
4.0,-0.494,-3.6277,-0.3921692397648349,0.494,0.0266,0.1537967126177289,1.1320666489578564
5.0,-0.5727,-2.8098,-0.4638033271333981,0.5727,0.0602,0.21511352626001026,1.0687100051851457
6.0,-0.65,-2.1208,-0.4771804400194001,0.65,0.1199,0.22770117233710857,1.1694342748147517
7.0,-0.6605,-2.0218,-0.49742015826156,0.6605,0.1324,0.24742681384495552,1.1252927366709649
8.0,-0.6067,-2.6048,-0.4589670041923182,0.6067,0.0739,0.21065071093727172,1.1472557143016018
9.0,-0.648,-2.1296,-0.5008882367521231,0.648,0.1189,0.2508890257166511,1.0938570355565644
10.0,-0.6606,-2.0658,-0.46908990010800783,0.6606,0.1267,0.22004533438334092,1.2149786893084469
11.0,-0.6365,-2.2611,-0.44911943893153433,0.6365,0.1042,0.2017082704261763,1.2369403770481109
