k,a,zeta,corr,powera,c,rsquared,se
1.0,-0.5054,-3.1396,-0.4202597849684361,0.5054,0.0433,0.17661828686171607,1.0660838272774293
2.0,-0.549,-3.0807,-0.4233816986819483,0.549,0.0459,0.17925206277881248,1.1477000302094302
3.0,-0.6169,-2.4146,-0.47871445865226975,0.6169,0.0894,0.2291675329227359,1.105346052553444
4.0,-0.8181,-0.402,-0.5963176472858593,0.8181,0.669,0.3555947364645426,1.0759440094571222
5.0,-0.8486,-0.1942,-0.576406149038733,0.8486,0.8235,0.33224404864966217,1.175234753954676
6.0,-0.8976,0.4392,-0.6526746033746939,0.8976,1.5514,0.42598413789031414,1.0179591933311047
7.0,-0.9464,0.8576,-0.6732214395309951,0.9464,2.3576,0.4532271066441854,1.015543671615524
8.0,-0.9574,1.1638,-0.6798983823835041,0.9574,3.2021,0.4622618103677057,1.0087975591274145
9.0,-0.9883,1.4942,-0.7043803392376028,0.9883,4.4558,0.49615166230448043,0.9729852501959322
10.0,-1.0454,2.1448,-0.7229871586536618,1.0454,8.5402,0.522710431578095,0.975910357146507
11.0,-1.0386,2.1686,-0.7641177825992934,1.0386,8.7457,0.5838759856844608,0.8565835831228029
