k,a,zeta,corr,powera,c,rsquared,se
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,-0.5125,-3.657,-0.4148625160802983,0.5125,0.0258,0.17211090724847583,1.0981929352102586
3.0,-0.5048,-3.9189,-0.39695204979504156,0.5048,0.0199,0.15757092983648552,1.140209400927365
4.0,-0.6593,-2.5522,-0.49854352103207,0.6593,0.0779,0.24854564236305457,1.1199964906509245
5.0,-0.7286,-1.8768,-0.5276644804760523,0.7286,0.15310000000000001,0.27842980395606237,1.1459347878922286
6.0,-0.8645,-0.4959,-0.634574754601649,0.8645,0.609,0.4026851191777433,1.0286337970721233
7.0,-0.8648,-0.552,-0.6004341880895595,0.8648,0.5758,0.36052121422676875,1.1252173370666898
8.0,-0.9688,0.6085,-0.68475766464886,0.9688,1.8377,0.4688930592953607,1.0072590047360632
9.0,-0.9492,0.4118,-0.6821432301168998,0.9492,1.5095,0.46531938639431797,0.9940387256809089
10.0,-0.9801,0.8772,-0.7132732377933275,0.9801,2.4041,0.5087587117521769,0.9408499419440619
11.0,-1.0765,1.9011,-0.7883263445543678,1.0765,6.6932,0.621458425518452,0.8208055149732554
